epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1913.41,0.63871,0.35387,1.10002,0.99722,1,0.995,0.75735,0.92654,0.32901,1.4694,0.0008714,0.0008714,0.0008714
116,1929.83,0.63728,0.35078,1.09894,0.99706,1,0.995,0.77641,0.87052,0.37154,1.40282,0.0008615,0.0008615,0.0008615
117,1946.43,0.62014,0.34592,1.07579,0.99879,1,0.995,0.78958,0.83178,0.3594,1.36808,0.0008516,0.0008516,0.0008516
118,1962.76,0.62665,0.34257,1.08097,0.99682,1,0.995,0.80108,0.87688,0.3205,1.42339,0.0008417,0.0008417,0.0008417
119,1979.22,0.60543,0.34166,1.07875,0.99689,1,0.995,0.83154,0.82681,0.30315,1.39128,0.0008318,0.0008318,0.0008318
120,1995.61,0.63401,0.35077,1.08893,0.99722,1,0.995,0.79841,0.83461,0.30458,1.37305,0.0008219,0.0008219,0.0008219
121,2012.29,0.62442,0.33616,1.0769,0.99705,1,0.995,0.81113,0.8689,0.29917,1.39369,0.000812,0.000812,0.000812
122,2028.68,0.61827,0.34318,1.0789,0.9451,1,0.9925,0.79692,0.89373,0.35566,1.42461,0.0008021,0.0008021,0.0008021
123,2045.45,0.61793,0.33849,1.07824,0.99446,0.94737,0.9925,0.81465,0.86472,0.32147,1.43536,0.0007922,0.0007922,0.0007922
124,2061.61,0.63245,0.3479,1.08897,1,0.99728,0.995,0.81143,0.86486,0.32777,1.43996,0.0007823,0.0007823,0.0007823
125,2077.95,0.63011,0.34493,1.08963,0.99536,1,0.995,0.79796,0.88724,0.30391,1.44751,0.0007724,0.0007724,0.0007724
126,2094.21,0.61137,0.34312,1.08395,0.99725,1,0.995,0.78228,0.86971,0.32081,1.46339,0.0007625,0.0007625,0.0007625
127,2110.67,0.61304,0.34112,1.07495,1,0.99947,0.995,0.77663,0.85448,0.31648,1.42441,0.0007526,0.0007526,0.0007526
128,2127.35,0.59085,0.33214,1.06778,0.99654,1,0.995,0.79306,0.90303,0.32127,1.42803,0.0007427,0.0007427,0.0007427
129,2143.94,0.60251,0.32782,1.07016,0.99702,1,0.995,0.7967,0.86922,0.31234,1.42349,0.0007328,0.0007328,0.0007328
130,2160.48,0.61996,0.33284,1.06566,0.99661,1,0.995,0.79689,0.84902,0.29877,1.41112,0.0007229,0.0007229,0.0007229
131,2177.02,0.60015,0.33616,1.06858,0.99689,1,0.995,0.79417,0.84156,0.29071,1.41522,0.000713,0.000713,0.000713
132,2193.64,0.59335,0.32625,1.05939,0.9974,1,0.995,0.81326,0.85699,0.28872,1.42215,0.0007031,0.0007031,0.0007031
133,2210.27,0.59169,0.32286,1.06383,0.99627,1,0.995,0.81176,0.86272,0.28479,1.43282,0.0006932,0.0006932,0.0006932
134,2226.88,0.57324,0.31958,1.05472,0.99964,1,0.995,0.78808,0.86203,0.30213,1.46242,0.0006833,0.0006833,0.0006833
135,2243.67,0.6171,0.33643,1.07716,0.99535,1,0.995,0.78726,0.85309,0.29105,1.4551,0.0006734,0.0006734,0.0006734
136,2260.05,0.56935,0.31208,1.06601,0.99569,1,0.995,0.81973,0.83894,0.30265,1.42464,0.0006635,0.0006635,0.0006635
137,2276.59,0.57588,0.31917,1.05645,0.9968,1,0.995,0.80563,0.84452,0.29782,1.45209,0.0006536,0.0006536,0.0006536
138,2293.02,0.56712,0.31472,1.04633,0.99926,1,0.995,0.81469,0.85499,0.30062,1.45196,0.0006437,0.0006437,0.0006437
139,2309.65,0.57287,0.32121,1.05733,1,0.9972,0.995,0.772,0.89832,0.34034,1.47971,0.0006338,0.0006338,0.0006338
140,2325.96,0.56623,0.32385,1.05966,1,0.99989,0.995,0.75856,0.93177,0.33015,1.48076,0.0006239,0.0006239,0.0006239
141,2342.52,0.58161,0.32032,1.05707,1,0.99877,0.995,0.78951,0.88703,0.31041,1.49109,0.000614,0.000614,0.000614
142,2359.04,0.56894,0.31992,1.0477,1,0.99278,0.995,0.78658,0.84962,0.3153,1.41309,0.0006041,0.0006041,0.0006041
143,2375.55,0.58429,0.32907,1.06497,1,0.99999,0.995,0.80405,0.83416,0.29787,1.37212,0.0005942,0.0005942,0.0005942
144,2392.14,0.56375,0.31905,1.04474,0.99625,0.94737,0.9925,0.79772,0.81999,0.30953,1.32772,0.0005843,0.0005843,0.0005843
145,2408.92,0.58024,0.31792,1.06193,0.99606,0.94737,0.98818,0.78123,0.88968,0.34372,1.46309,0.0005744,0.0005744,0.0005744
146,2425.31,0.58318,0.31622,1.05619,0.99637,0.94737,0.9925,0.80894,0.84491,0.31563,1.39087,0.0005645,0.0005645,0.0005645
147,2441.8,0.56338,0.3164,1.04798,0.99765,1,0.995,0.79819,0.83545,0.30899,1.39537,0.0005546,0.0005546,0.0005546
148,2458.22,0.56492,0.30645,1.05148,0.99751,1,0.995,0.81722,0.85909,0.31101,1.40734,0.0005447,0.0005447,0.0005447
149,2474.9,0.55791,0.30527,1.04624,1,0.99862,0.995,0.79823,0.89684,0.32984,1.47718,0.0005348,0.0005348,0.0005348
150,2491.4,0.58931,0.32425,1.07014,1,0.99931,0.995,0.79259,0.85879,0.32562,1.44326,0.0005249,0.0005249,0.0005249
151,2507.7,0.55984,0.30129,1.04262,1,0.99825,0.995,0.79674,0.81749,0.3004,1.41467,0.000515,0.000515,0.000515
152,2524.11,0.55525,0.30521,1.05398,0.99726,1,0.995,0.80124,0.84018,0.2743,1.41933,0.0005051,0.0005051,0.0005051
153,2540.35,0.54382,0.29534,1.03623,1,0.98919,0.995,0.82611,0.85484,0.32617,1.43736,0.0004952,0.0004952,0.0004952
154,2556.51,0.54966,0.30796,1.0401,0.99596,1,0.995,0.80981,0.83223,0.29934,1.38995,0.0004853,0.0004853,0.0004853
155,2572.74,0.54957,0.30745,1.03369,0.99686,1,0.995,0.79792,0.83179,0.3031,1.377,0.0004754,0.0004754,0.0004754
156,2589.48,0.54691,0.30843,1.03889,0.99687,1,0.995,0.8208,0.83683,0.29641,1.41529,0.0004655,0.0004655,0.0004655
157,2605.88,0.55345,0.298,1.04548,0.99721,1,0.995,0.81192,0.86337,0.28731,1.42734,0.0004556,0.0004556,0.0004556
158,2622.24,0.55216,0.29572,1.04025,0.99765,1,0.995,0.80427,0.86615,0.30306,1.43021,0.0004457,0.0004457,0.0004457
159,2638.72,0.55627,0.30295,1.03349,0.99798,1,0.995,0.80077,0.87782,0.31231,1.46499,0.0004358,0.0004358,0.0004358
160,2655.16,0.53564,0.29556,1.02999,0.99962,1,0.995,0.80884,0.88013,0.31507,1.46039,0.0004259,0.0004259,0.0004259
161,2671.6,0.55141,0.30132,1.02822,1,0.9997,0.995,0.81646,0.85424,0.30849,1.40958,0.000416,0.000416,0.000416
162,2687.78,0.53573,0.30165,1.02535,1,0.99987,0.995,0.8059,0.88888,0.32877,1.457,0.0004061,0.0004061,0.0004061
163,2704.87,0.55138,0.30523,1.0473,0.9984,1,0.995,0.81357,0.87309,0.29002,1.46201,0.0003962,0.0003962,0.0003962
164,2721.48,0.54771,0.2961,1.03739,0.99831,1,0.995,0.78436,0.87849,0.30781,1.45972,0.0003863,0.0003863,0.0003863
165,2738.03,0.54126,0.2941,1.0425,0.94822,1,0.9925,0.77339,0.8727,0.32705,1.4813,0.0003764,0.0003764,0.0003764
166,2754.26,0.53586,0.2867,1.03156,1,0.99963,0.995,0.78261,0.86649,0.31512,1.45759,0.0003665,0.0003665,0.0003665
167,2770.98,0.54744,0.29551,1.03153,0.99812,1,0.995,0.79954,0.85778,0.32953,1.42996,0.0003566,0.0003566,0.0003566
168,2787.35,0.52687,0.28673,1.02717,0.99839,1,0.995,0.82337,0.83616,0.32165,1.39943,0.0003467,0.0003467,0.0003467
169,2803.58,0.54491,0.30342,1.04262,0.99823,1,0.995,0.78567,0.85978,0.30523,1.43602,0.0003368,0.0003368,0.0003368
170,2820.05,0.53573,0.29183,1.04259,1,0.99924,0.995,0.80567,0.88187,0.31003,1.46617,0.0003269,0.0003269,0.0003269
171,2836.27,0.52279,0.28695,1.0245,0.99746,1,0.995,0.81017,0.86009,0.28984,1.45089,0.000317,0.000317,0.000317
172,2852.48,0.53998,0.29488,1.04879,0.99743,1,0.995,0.80256,0.8617,0.31062,1.43389,0.0003071,0.0003071,0.0003071
173,2869.17,0.52124,0.28521,1.03163,0.99796,1,0.995,0.80901,0.86019,0.31295,1.44549,0.0002972,0.0002972,0.0002972
174,2885.19,0.53316,0.29145,1.02877,0.99802,1,0.995,0.81786,0.85019,0.29168,1.45711,0.0002873,0.0002873,0.0002873
175,2901.77,0.539,0.30208,1.03668,0.99785,1,0.995,0.81608,0.85952,0.28932,1.46944,0.0002774,0.0002774,0.0002774
176,2918.24,0.52602,0.29073,1.03172,0.99755,1,0.995,0.80612,0.86498,0.28981,1.44566,0.0002675,0.0002675,0.0002675
177,2934.87,0.52207,0.28505,1.02131,0.99776,1,0.995,0.82055,0.85187,0.28729,1.42446,0.0002576,0.0002576,0.0002576
178,2951.15,0.52841,0.28767,1.01081,0.99807,1,0.995,0.81936,0.86068,0.29423,1.45177,0.0002477,0.0002477,0.0002477
179,2967.21,0.51001,0.28073,1.02155,0.99719,1,0.995,0.81578,0.86183,0.28744,1.46385,0.0002378,0.0002378,0.0002378
180,2983.71,0.50994,0.27622,1.02134,0.9976,1,0.995,0.79668,0.90182,0.30924,1.49086,0.0002279,0.0002279,0.0002279
181,3000.03,0.5165,0.28196,1.01734,0.99857,1,0.995,0.82085,0.86347,0.29777,1.45738,0.000218,0.000218,0.000218
182,3016.87,0.49254,0.27355,1.01192,0.9987,1,0.995,0.81521,0.85911,0.28651,1.46509,0.0002081,0.0002081,0.0002081
183,3033.45,0.51087,0.27539,1.01913,0.99917,1,0.995,0.81512,0.8623,0.29574,1.45841,0.0001982,0.0001982,0.0001982
184,3050.04,0.53431,0.29056,1.0331,1,0.99872,0.995,0.81099,0.87449,0.31701,1.46755,0.0001883,0.0001883,0.0001883
185,3066.49,0.50354,0.27338,1.01113,1,0.99926,0.995,0.80762,0.87766,0.32249,1.49662,0.0001784,0.0001784,0.0001784
186,3082.82,0.50639,0.27312,1.02855,0.99907,1,0.995,0.82161,0.86926,0.30873,1.51818,0.0001685,0.0001685,0.0001685
187,3099.23,0.50302,0.27876,1.01959,0.99914,1,0.995,0.81282,0.87193,0.30486,1.51598,0.0001586,0.0001586,0.0001586
188,3115.66,0.5065,0.27679,1.01496,1,0.99887,0.995,0.8142,0.85886,0.30875,1.50331,0.0001487,0.0001487,0.0001487
